COD_MESE,CD_CLUSTER,DES_TIPO_GIORNO,NUM_S_RICERCHE,NUM_S_RICERCHE_NOREG,NUM_S_RICERCHE_AREA1,NUM_S_RICERCHE_AREA2,NUM_S_RICERCHE_AREA3,NUM_S_RICERCHE_AREA4,NUM_S_RICERCHE_VATICANO,NUM_S_RICERCHE_ROMA,NUM_S_RICERCHE_MILANO,NUM_S_RICERCHE_NAPOLI,NUM_S_RICERCHE_TORINO,NUM_S_RICERCHE_LAVORATIVA,NUM_S_RICERCHE_NON_LAVORATIVA,NUM_S_SESSIONI_UNICHE
201308,funebri,Lavorativo,20495,3067,5217,3177,3704,5330,0,257,313,164,320,16956,3539,12825
201308,fusione,Lavorativo,11100,1542,3489,2783,2019,1267,0,229,89,50,130,9082,2018,6960
201308,infissi,Lavorativo,91023,5104,26462,22891,19000,17563,3,1659,874,552,1052,76846,14177,46187
201308,lamiere,Lavorativo,17155,2009,5276,4013,2966,2891,0,241,195,70,182,14586,2569,9757
201308,metalli,Lavorativo,52261,6080,16677,13893,9505,6106,0,924,1088,294,931,44827,7434,29173
201308,nautica,Lavorativo,30610,2321,6606,5696,8789,7198,0,606,237,534,219,24179,6431,18829
201308,pallets,Lavorativo,6926,498,2187,2264,1191,786,0,60,56,8,58,5814,1112,4224
201308,pulizia,Lavorativo,39047,3584,11426,10243,7570,6224,0,741,716,368,706,32962,6085,21394
201308,tappeti,Lavorativo,63582,5518,17900,16358,13132,10673,1,2025,1124,547,1024,52038,11544,36408
201308,turismo,Lavorativo,89163,7903,22108,19075,19131,20945,1,2908,3710,1568,1894,73972,15191,56971
201308,acustica,Lavorativo,1700,277,403,470,316,234,0,27,18,23,3,1304,396,1219
201308,alberghi,Lavorativo,272864,20820,54240,65709,66874,65206,15,5194,2722,1333,1612,208898,63966,122850
201308,cantieri,Lavorativo,19536,1492,5498,4843,4357,3346,0,533,622,177,373,16569,2967,11772
201308,dentisti,Lavorativo,115469,5889,36048,27056,24019,22457,0,2131,1428,704,1250,97329,18140,63662
201308,edilizia,Lavorativo,17030,1731,3278,3672,3608,4741,0,111,74,39,69,14166,2864,10218
201308,editoria,Lavorativo,91572,8294,29287,16702,19448,17834,7,4040,6218,1713,4501,76263,15309,54893
201308,farmacie,Lavorativo,320061,21599,76748,57919,68430,95350,15,8976,5072,4130,5019,271960,48101,160601
201308,geologia,Lavorativo,10980,1540,1837,2594,2577,2432,0,192,154,90,53,8823,2157,7125
201308,immobili,Lavorativo,56985,5863,15746,12994,12855,9526,1,1314,1267,207,994,47110,9875,33202
201308,infanzia,Lavorativo,57321,5477,13670,11719,12785,13670,0,3166,852,953,1076,47170,10151,29206
201308,internet,Lavorativo,55196,4682,22156,8832,10025,9501,0,2443,12691,789,1025,42997,12199,37846
201308,medicale,Lavorativo,49725,3438,16008,8672,10712,10895,0,2662,1359,492,1476,41981,7744,28529
201308,pensioni,Lavorativo,63077,5689,19133,12944,12313,12998,0,1408,808,449,805,50523,12554,32170
201308,preziosi,Lavorativo,5167,456,1133,1167,1282,1129,0,137,73,50,111,4320,847,3360
201308,pubblico,Lavorativo,300397,39542,66391,50031,62960,81466,7,6235,8364,4098,3454,261293,39104,175954
